Profesor11,"EF-SIng-3ESO
3º ESO A
(GIMNASIO)
3º ESO B","EF-SIng-2ESO
2º ESO A
(GIMNASIO)
2º ESO B",,"EF-SIng-1ESO
1º ESO B
(GIMNASIO)
1º ESO C",,"EF-SIng-2ESO
2º ESO C
(GIMNASIO)",,,,,,,,"EF-SIng-2ESO
2º ESO A
(GIMNASIO)
2º ESO B",,,"GUARDIA
Guardia",,"AFDO-2BACH
2º BACH A
(GIMNASIO)
2º BACH C
2º BACH D",,,,,,,,"EF-SIng-3ESO
3º ESO A
(GIMNASIO)
3º ESO B","EF-SIng-2ESO
2º ESO C
(GIMNASIO)",,"EF-SIng-1ESO
1º ESO B
(PATIO 2)
1º ESO C","REUNIÓN
DEPEF","EF-SIng-1ESO
1º ESO A
(GIMNASIO)",,,,,,,,,"EF-1BACH
1º BACH D
(GIMNASIO)",,"EF-SIng-4ESO
4º ESO A
(GIMNASIO)
4º ESO D
4º ESO B","EF-SIng-1ESO
1º ESO A
(GIMNASIO)","CCP
REUNIÓN
(BIBLIOTECA)",,,,,,,,"EF-1BACH
1º BACH D
(GIMNASIO)","REUNIÓN
SBI",,,"EF-SIng-4ESO
4º ESO A
(GIMNASIO)
4º ESO D
4º ESO B",,,,,,,,
Profesor12,"ING-1ESO
1º ESO D
(AULA 1CD)",,"GUARDIA
Guardia","ING-1ESO
1º ESO A
(D1)",,,,,,,,,,"ING-1ESO
1º ESO D
(AULA 1CD)","ING-3ESO
3º ESO D
(AULA 3D)","REUNIÓN
R.Tut.ESO1-2","1 FPB ING
1FPB
(AULA FPB 1º)","ING-1ESO
1º ESO A
(D1)","ING-2ESO
2º ESO D
(AULA 2D)",,,,,,,,"ING-1ESO
1º ESO D
(AULA 1CD)","ING-1ESO
1º ESO A
(D1)",,"ING-3ESO
3º ESO D
(AULA 3D)","ING-2ESO
2º ESO D
(AULA 2D)","GUARDIA
Guardia",,,,,,,,"ING-3ESO
3º ESO D
(AULA 3D)",,"ING-2ESO
2º ESO D
(AULA 2D)",,"ING-1ESO
1º ESO D
(AULA 1CD)","GUARDIA
Guardia","REUNIÓN
DEPING",,,,,,,"ING-1ESO
1º ESO A
(D1)","1 FPB ING
1FPB
(AULA FPB 1º)","ING-2ESO
2º ESO D
(AULA 2D)",,"DING-3ESO
3º ESO A
(DPTO ING)
3º ESO C
3º ESO B","TUT-2ESO
2º ESO D
(AULA 2D)",,,,,,,
Profesor13,"GUARDIA
Guardia","TIC-1BACH G2
1º BACH A
(INF1)
1º BACH C
1º BACH D",,,,,"REUNIÓN
DEPINF",,,,,,,,,,"Inf4ESO-G2
4º ESO B
(INF1)
4º ESO C",,"1 DAM PROG
1DAM/DAW
(IFC-1)",,,,,,,,,,"Inf4ESO-G2
4º ESO B
(INF1)
4º ESO C","1 DAM PROG
1DAM/DAW
(IFC-1)","1 DAM PROG
1DAM/DAW
(IFC-1)",,,,,,,,,"1 DAM PROG
1DAM/DAW
(IFC-1)","1 DAM PROG
1DAM/DAW
(IFC-1)",,,"TIC-1BACH G2
1º BACH A
(INF1)
1º BACH C
1º BACH D","GUARDIA
G. Biblio",,,,,,,,"1 DAM PROG
1DAM/DAW
(IFC-1)","1 DAM PROG
1DAM/DAW
(IFC-1)",,,,,,,,,,,
Profesor14,"Tec-4ESO-G2
4º ESO D
(TALLER TEC 1)","GUARDIA
G. Biblio",,"Tec-3ESO
3º ESO C
(TALLER TEC 1)","Tec-3ESO
3º ESO A
(TALLER TEC 1)","TEC-2ESO
2º ESO B
(TALLER TEC 1)",,,,,,,,"Tec-3ESO
3º ESO C
(TALLER TEC 1)","TECIND 1B G1
1º BACH A
(TALLER TEC 1)
1º BACH B","Tec-4ESO-G2
4º ESO D
(TALLER TEC 1)","Tec-3ESO
3º ESO B
(TALLER TEC 1)","GUARDIA
Guardia","TEC-2ESO
2º ESO B
(TALLER TEC 1)",,,,,,,,"TEC-2ESO
2º ESO C
(TALLER TEC 1)","TECIND 1B G1
1º BACH A
(TALLER TEC 1)
1º BACH B","GUARDIA
Guardia","REUNIÓN
DEPTEC","Tec-3ESO
3º ESO D
(TALLER TEC 1)","Tec-3ESO
3º ESO B
(TALLER TEC 1)",,,,,,,,"Tec-3ESO
3º ESO A
(TALLER TEC 1)","Tec-3ESO
3º ESO D
(TALLER TEC 1)","TECIND 1B G1
1º BACH A
(TALLER TEC 1)
1º BACH B","GUARDIA
Guardia",,,,,,,,,,"TEC-2ESO
2º ESO C
(TALLER TEC 1)","TECIND 1B G1
1º BACH A
(TALLER TEC 1)
1º BACH B","Tec-4ESO-G2
4º ESO D
(TALLER TEC 1)",,,,,,,,,,
Profesor15,,,"ING-2BACH
2º BACH B
(AULA 2BBach)",,,,,,,,,,,,,"ING-2BACH
2º BACH B
(AULA 2BBach)",,,,"PORTUGUES3-4
3º ESO A
(AULA 1B)
4º ESO D
3º ESO C
3º ESO B
3º ESO D
4º ESO A
4º ESO B
4º ESO C",,,,,,,,"REUNIÓN
R.Tut. Bach",,"DING-SIng4ES
4º ESO A
(DPTO ING)
4º ESO D
4º ESO B",,"ING-2BACH
2º BACH B
(AULA 2BBach)",,,,,,,,,,,,,,"REUNIÓN
DEPING",,,,,,,,,,,,,,,,,,,
Profesor16,"3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","RMA - 2ESO
2º ESO C
(D1)","2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)","3PMAR-TUT
3ºD PMAR
(AULA 3D PMAR)",,,,,,,,,,"3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)","2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)",,,,,,,,,,"3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)",,"2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)","2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)",,,,,,,,,"2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)",,"3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","REUNIÓN
R.PMAR",,"REUNIÓN
Coor.ORI",,,,,,,"2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)","2PMAR - ACM
2ºD PMAR
(AULA 2D PMAR)",,"3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)","3PMAR- ACM
3ºD PMAR
(AULA 3D PMAR)",,,,,,,,
Profesor17,,,"MAT-1ESO
1º ESO C
(AULA 1C)","MAT-2ESO
2º ESO A
(AULA 2A)","GUARDIA
Guardia","MAT-1ESO
1º ESO A
(AULA 1A)","REUNIÓN
DEPMAT",,,,,,,,"MAT-2ESO
2º ESO B
(AULA 2B)","REUNIÓN
R.Tut.ESO1-2","MAT-1ESO
1º ESO A
(AULA 1A)","MAT-1ESO
1º ESO C
(AULA 1C)","MAT-2ESO
2º ESO A
(AULA 2A)",,,,,,,,"MAT-1ESO
1º ESO A
(AULA 1A)","GUARDIA
Guardia",,"MAT-2ESO
2º ESO B
(AULA 2B)","MAT-2ESO
2º ESO A
(AULA 2A)","MAT-1ESO
1º ESO C
(AULA 1C)",,,,,,,,"MAT-1ESO
1º ESO C
(AULA 1C)","MAT-1ESO
1º ESO A
(AULA 1A)","MAT-2ESO
2º ESO B
(AULA 2B)",,,"TUT-1ESO
1º ESO C
(AULA 1C)",,,,,,,,,"MAT-2ESO
2º ESO B
(AULA 2B)","GUARDIA
Guardia","MAT-2ESO
2º ESO A
(AULA 2A)","MAT-1ESO
1º ESO A
(AULA 1A)","MAT-1ESO
1º ESO C
(AULA 1C)",,,,,,,
Profesor18,"2 DAW DIW
2DAW
(IFC-5)",,"DI
2DAM
(IFC-2)",,,,"REUNIÓN
DEPINF",,,,,,,,"2 DAW DIW
2DAW
(IFC-5)","2 DAW DIW
2DAW
(IFC-5)","DI
2DAM
(IFC-2)","DI
2DAM
(IFC-2)",,,,,,,,,"DI
2DAM
(IFC-2)","DI
2DAM
(IFC-2)","2 DAW DIW
2DAW
(IFC-5)","2 DAW DIW
2DAW
(IFC-5)",,,,,,,,,,"FCT DAW
FCT DAW
(IFC-FCT3)","FCT DAW
FCT DAW
(IFC-FCT3)","FCT DAW
FCT DAW
(IFC-FCT3)","FCT DAW
FCT DAW
(IFC-FCT3)","2 DAW DIW
2DAW
(IFC-5)","2 DAW DIW
2DAW
(IFC-5)",,,,,,,,,"REUNIÓN
R.Tut. CCFF","DI
2DAM
(IFC-2)","DI
2DAM
(IFC-2)",,,,,,,,,
Profesor19,,,,"2 DAW DWEC
2DAW
(IFC-5)","2 DAW DWEC
2DAW
(IFC-5)",,"REUNIÓN
DEPINF",,,,,,,,,"REUNIÓN
R.Tut.ESO1-2","2 DAW DWEC
2DAW
(IFC-5)","2 DAW DWEC
2DAW
(IFC-5)",,,,,,,,,,,,,"2 DAW DWEC
2DAW
(IFC-5)",,,,,,,,,,,"REUNIÓN
R.Tut.ESO3-4",,"REUNIÓN
R.PMAR","CCP
REUNIÓN
(BIBLIOTECA)",,,,,,,,,,"2 DAW DWEC
2DAW
(IFC-5)","2 DAW DWEC
2DAW
(IFC-5)",,,,,,,,,
Profesor20,"FRA1-1ESO
1º ESO D
(DPTO FRANCÉS)",,"FRA1-SFr3ESO
3º ESO A
(AULA 3B)
3º ESO B",,"FRA2-1ESO
1º ESO B
(AULA 1B)",,,,,,,,,"FRA1-1ESO
1º ESO D
(D5)","FRA2-1Bach
1º BACH A
(INF2)
1º BACH C
1º BACH D","REUNIÓN
DEPFR","REUNIÓN
SBF",,"FRA2-3ESO
3º ESO A
(INF1)
3º ESO D",,,,,,,,"FRA1-1ESO
1º ESO D
(D5)","FRA2-1Bach
1º BACH A
(DPTO FRANCÉS)
1º BACH C
1º BACH D",,,"FRA1-SFr3ESO
3º ESO A
(INF1)
3º ESO B",,,,,,,,,,,"FRA2-1Bach
1º BACH A
(AULA 1DBach)
1º BACH C
1º BACH D","FRA2-1ESO
1º ESO B
(AULA 1B)","FRA1-1ESO
1º ESO D
(D5)","CCP
REUNIÓN
(BIBLIOTECA)",,,,,,,,,"FRA2-1Bach
1º BACH A
(DPTO FRANCÉS)
1º BACH C
1º BACH D",,"GUARDIA
Guardia","FRA1-SFr3ESO
3º ESO A
(AULA 3B)
3º ESO B","FRA2-3ESO
3º ESO A
(AULA 3A)
3º ESO D",,,,,,,
