Materias o asignaturas;Abreviatura;Nombre largo;Departamento;Es de tutoría;Prof. Técnico;Lectivas;Clave externa;Se imparte en cursos
2PMAR- ALS;2PMAR- ALS;2PMAR- ALS;<ninguno>;;;7;;2PMAR
2PMAR AP-NT;2PMAR AP-NT;2PMAR Ambito Práctico -Nuevas Tecnologias;<ninguno>;;;4;;2PMAR
2PMAR -ED-DH;2PMAR -ED-DH;2PMAR -Ed. Ciudadanía y Der.Humanos;<ninguno>;;;1;;2PMAR
2PMAR- VE;2PMAR- VE;2PMAR- Valores Eticos;<ninguno>;;;;;2PMAR
2PMAR-EF;2PMAR-EF;2PMAR- Educación Física;<ninguno>;;;;;2PMAR
2PMAR-LE-Fr;2PMAR-LE-Fr;2PMAR-Lengua Extranjera -Frances;<ninguno>;;;;;2PMAR
2PMAR-LE-In;2PMAR-LE-In;2PMAR-Lengua Extranjera -Inglés;<ninguno>;;;;;2PMAR
2PMAR-REL;2PMAR-REL;2PMAR-Religión;<ninguno>;;;;;2PMAR
3PMAR - CC;3PMAR - CC;Cultura Clásica - 3PMAR;<ninguno>;;;;;3PMAR
3PMAR - EPVA;3PMAR - EPVA;3PMAR - Ed. Plastica y audiovisual;<ninguno>;;;;;3PMAR
3PMAR - PEx;3PMAR - PEx;3PMAR - Plastica en Extremadura;<ninguno>;;;;;3PMAR
3PMAR - REL;3PMAR - REL;3PMAR - Religion;<ninguno>;;;;;3PMAR
3PMAR - VE;3PMAR - VE;3PMAR - Valores Éticos;<ninguno>;;;;;3PMAR
3PMAR- ACM;3PMAR- ACM;Ámbito Científico y Matemático 3PMAR;<ninguno>;;;18;;3PMAR
3PMAR AP-NT;3PMAR AP-NT;Ámbito práctico y Nuevas Tecnologías;<ninguno>;;;8;;3PMAR, 3 ESO, 4 ESO (DIV)
3PMAR-ALS;3PMAR-ALS;Ámbito Lingüístico y Social 3PMAR;<ninguno>;;;14;;3PMAR
3PMAR-EF;3PMAR-EF;3PMAR - Educación Física;<ninguno>;;;;;3PMAR
3PMAR-ERMA;3PMAR-ERMA;Energías renovables y medio ambiente 3PMAR;<ninguno>;;;4;;3PMAR, 3 ESO
3PMAR-IAEE;3PMAR-IAEE;Iniciación Actividad Emprendedora-Empresarial 3PMA;<ninguno>;;;;;3PMAR
3PMAR-LE-Fr;3PMAR-LE-Fr;3PMAR-Lengua Extranjera -Francés;<ninguno>;;;4;;3PMAR
3PMAR-LE-In;3PMAR-LE-In;3PMAR-Lengua Extranjera - Inglés;<ninguno>;;;8;;3PMAR
3PMAR-TUT;3PMAR-TUT;Tutoría 3PMAR;<ninguno>;*;;2;;3PMAR
AA-1BACH;;Anatomia Aplicada 1 BACH;<ninguno>;;;4;;
ACom. 1;;Ámbito de la Comunicación 1º.;<ninguno>;;;6;;3ESPA
ACom. 2;;Ámbito de la Comunicación 2º.;<ninguno>;;;6;;4ESPA
ACT 1;;Ámbito Científico Técnico 1º.;<ninguno>;;;8;;3ESPA
ACT 2;;Ámbito Científico Técnico 2º.;<ninguno>;;;8;;4ESPA
ACT-4DIVER;ACT4DIVER;Ámbito científico tecnológico 4DIVER;<ninguno>;;;;;3 ESO, 4 ESO (DIV)
AED-4ESO;AED-4ESO;Artes Escénicas y Danza 4ESO;<ninguno>;;;2;;4 ESO
AFDO-2BACH;AFDO-2BACH;Actividad Física, Deporte y Ocio Activo 2 BACH;<ninguno>;;;1;;
AFDO-2BNoc;AFDO-2BNoc;Actividad Física, Deporte y Ocio 2B noc;<ninguno>;;;1;;
AM-1BACH;AM-1BACH;Analisis Musical 1 BACH;<ninguno>;;;;;
AM-1BNoc;AM-1BNoc;Análisis musical 1 Bach. Nocturno;<ninguno>;;;2;;
AM-2BACH;AM-2BACH;Análisis Musical -2BACH;<ninguno>;;;;;
AM-2BN;AM-2BN;Análisis Musical 2 Bachillerato Nocturno;<ninguno>;;;3;;
APOYO-GH-1ES;APOYO-GH-1ESO;Apoyo de geografía e Historia 1ESO;<ninguno>;;;;;1 ESO
APOYO-LCL-1E;APOYO-LCL-1ESO;Apoyo LCL 1 ESO;<ninguno>;;;;;1 ESO
ASL-4DIVER;ASL-4DIVER;Ámbito sociolingüístico 4DIVER;<ninguno>;;;;;3 ESO, 4 ESO (DIV)
ASoc. 1;;Ámbito de la Sociedad 1º.;<ninguno>;;;4;;3ESPA
ASoc. 2;;Ámbito de la Sociedad 2º.;<ninguno>;;;4;;4ESPA
BG-1ESO;BG-1ESO;Biologia-Geologia 1º ESO;<ninguno>;;;15;;1 ESO
BG-2BCN;BG-2BCN;Biología 2º Bachillerato Ciencias Nocturno;<ninguno>;;;4;;2BCN
BG-3ESO;BG-3ESO;BG-3ESO;<ninguno>;;;12;;3 ESO
